ID,day,panelistCount,flavorScore,attribute
3828,D10,5,9.2,No Criticism
3828,D14,6,9.3,No Criticism
3828,D17,6,9.2,No Criticism
3828,D21,6,4.2,Coagulated
3828,DI,6,8.8,Light Oxidized
3829,D10,5,9.2,No Criticism
3829,D14,6,9.3,No Criticism
3829,D17,6,9.2,No Criticism
3829,D21,6,8.2,Not clearly defined
3829,DI,6,8.3,Light Oxidized
3830,D10,5,9.2,No Criticism
3830,D14,6,9,No Criticism
3830,D17,6,9.2,No Criticism
3830,D21,6,8.4,Not clearly defined
3830,DI,6,9.2,No Criticism
3832,D10,5,9.4,No Criticism
3832,D14,6,9.3,No Criticism
3832,D17,6,9.2,No Criticism
3832,D21,5,4,High Acid
3832,DI,6,9.4,Cooked
3833,D10,5,9.3,No Criticism
3833,D14,6,9.2,No Criticism
3833,D17,6,9,No Criticism
3833,D21,5,4.4,Malty
3833,DI,6,9.4,No Criticism
3834,D10,5,9.2,No Criticism
3834,D14,6,9.2,No Criticism
3834,D17,6,9.1,No Criticism
3834,D21,5,8.6,Lacks Freshness
3834,DI,6,9.3,No Criticism
3835,D10,5,9.3,No Criticism
3835,D14,6,9.2,No Criticism
3835,D17,6,9.1,No Criticism
3835,D21,5,9,No Criticism
3835,DI,6,9.4,No Criticism
3837,D10,5,9.3,No Criticism
3837,D14,6,8.4,"Bitter, Lacks Freshness"
3837,D17,6,9,No Criticism
3837,D21,5,0,"Bitter, Coagulated"
3837,DI,6,9.4,No Criticism
3838,D10,5,9.4,No Criticism
3838,D14,6,1.7,"Coagulated, Fruity Fermented, Rancid"
3838,DI,6,9.2,No Criticism
3839,D10,5,9.3,No Criticism
3839,D14,6,9,No Criticism
3839,D17,6,9.2,No Criticism
3839,D21,5,8.6,Lacks Freshness
3839,DI,6,9.1,No Criticism
3840,D10,5,9.3,No Criticism
3840,D14,6,8.3,"Bitter, Lacks Freshness"
3840,D17,6,0.3,"Bitter, Coagulated"
3840,DI,6,9.3,No Criticism
3841,D10,5,9.3,No Criticism
3841,D14,6,9.2,No Criticism
3841,D17,6,9.2,No Criticism
3841,D21,6,4.1,Coagulated
3841,DI,6,9.3,No Criticism
3842,D10,5,9.3,No Criticism
3842,D14,6,9.3,No Criticism
3842,D17,6,9.2,No Criticism
3842,D21,6,9.2,No Criticism
3842,DI,6,9.1,No Criticism
3843,D10,5,8.6,Not clearly defined
3843,D14,6,8.7,Lacks Freshness
3843,D17,6,8.9,Not clearly defined
3843,D21,6,8.9,Not clearly defined
3843,DI,6,8.6,Not clearly defined
3844,D10,5,9.3,No Criticism
3844,D14,6,9.1,No Criticism
3844,D17,6,9,No Criticism
3844,D21,6,9.2,No Criticism
3844,DI,6,9.3,No Criticism
3846,D10,6,9.2,Cooked
3846,DI,6,7.9,Cooked
3847,D10,6,7.1,Cooked
3847,D14,6,7.5,"Fruity Fermented, Cooked"
3847,DI,6,8.9,Cooked
3848,D10,6,7.8,"Flat, Lacks Freshness"
3848,D14,6,5.3,"Bitter, Fruity Fermented"
3848,DI,6,7.4,Light Oxidized
3851,D10,6,8.9,Not clearly defined
3851,D14,5,7.8,"Cooked, Lacks Freshness"
3851,D17,6,8.8,Cooked
3851,D21,6,6.5,"Lacks Freshness, Light Oxidized"
3851,DI,6,9.2,No Criticism
3852,D10,6,7.7,Cooked
3852,D14,5,0,Coagulated
3852,DI,6,9.2,No Criticism
3853,D10,6,9,No Criticism
3853,D14,5,7.6,Lacks Freshness
3853,D17,6,6.9,Cooked
3853,D21,6,4.7,Lacks Freshness
3853,DI,6,9,No Criticism
3854,D10,6,9.2,Cooked
3854,D14,5,0,Coagulated
3854,DI,6,9.2,Cooked
3857,D10,6,9.1,No Criticism
3857,D17,6,0.2,"Coagulated, Rancid"
3857,DI,6,9.3,No Criticism
3858,D10,6,9,No Criticism
3858,D14,5,3.8,"Bitter, Coagulated"
3858,DI,6,9.4,No Criticism
3859,D10,6,9,No Criticism
3859,D14,5,8.9,Not clearly defined
3859,D17,6,8,Lacks Freshness
3859,D21,6,0,Coagulated
3859,DI,6,9,No Criticism
3860,D10,6,6.1,Fruity Fermented
3860,D14,5,0.4,"Fruity Fermented, Bitter, Coagulated"
3860,DI,6,9.1,No Criticism
3862,D10,6,8.8,Lacks Freshness
3862,D14,6,0,Coagulated
3862,DI,6,9,Cooked
3863,D10,6,9.2,No Criticism
3863,D14,6,0.1,Coagulated
3863,DI,6,9,Cooked
3864,D10,6,8.6,Lacks Freshness
3864,D14,6,0,Coagulated
3864,DI,6,8.9,Not clearly defined
3866,D10,4,9.4,No Criticism
3866,D14,6,8.8,Not clearly defined
3866,D17,6,9.1,No Criticism
3866,D21,6,7.3,Lacks Freshness
3866,DI,6,9.4,No Criticism
3867,D10,4,9.4,No Criticism
3867,D14,6,9,No Criticism
3867,D17,6,9,No Criticism
3867,D21,6,6.8,Rancid
3867,DI,6,9.4,No Criticism
3868,D10,4,9.2,No Criticism
3868,D14,6,8.7,Not clearly defined
3868,D17,6,8.4,Lacks Freshness
3868,D21,6,8.8,Lacks Freshness
3868,DI,6,9.3,No Criticism
3869,D10,4,9.2,No Criticism
